timestamp(ms),accel_magnitude,gyro,gyro_x,gyro_y,gyro_z,imu_moving,test_target,test_mode,
"1769473672.76",,,,"0","-1.22","0",,,
"1769473672.953","1",,,,,,,,
"1769473672.956",,,"0",,,,,,
"1769473672.96",,,,"0.24","-0.73",,,,
"1769473672.961",,,,,,"0",,,
"1769473673.153","1",,,,,,,,
"1769473673.156",,,"-0.49",,,,,,
"1769473673.158",,,,"0",,,,,
"1769473673.159",,,,,"-1.4",,,,
"1769473673.16",,,,,,"0",,,
"1769473673.355","1",,,,,,,,
"1769473673.359",,,"0.67",,,,,,
"1769473673.364",,,,"0.12",,,,,
"1769473673.365",,,,,"-0.49","0",,,
"1769473673.553","0.99",,,,,,,,
"1769473673.556",,,"-0.24",,,,,,
"1769473673.558",,,,"0","-1.16",,,,
"1769473673.559",,,,,,"0",,,
"1769473673.753","0.99",,,,,,,,
"1769473673.755",,,"-0.67",,,,,,
"1769473673.758",,,,"0.18","-0.85",,,,
"1769473673.759",,,,,,"0",,,
"1769473673.953","1",,,,,,,,
"1769473673.956",,,"-0.49",,,,,,
"1769473673.958",,,,"-0.18",,,,,
"1769473673.959",,,,,"-1.22",,,,
"1769473673.96",,,,,,"0",,,
"1769473674.153","1",,,,,,,,
"1769473674.156",,,"-0.43",,,,,,
"1769473674.158",,,,"0.24",,,,,
"1769473674.159",,,,,"-0.61",,,,
"1769473674.161",,,,,,"0",,,
"1769473674.353","0.99",,,,,,,,
"1769473674.356",,,"-0.55",,,,,,
"1769473674.358",,,,"0.3","-1.22",,,,
"1769473674.36",,,,,,"0",,,
"1769473674.558","0.99",,"-0.12",,,,,,
"1769473674.559",,,,"-0.06",,,,,
"1769473674.56",,,,,"-0.61",,,,
"1769473674.561",,,,,,"0",,,
"1769473674.753","1",,,,,,,,
"1769473674.756",,,"-0.61",,,,,,
"1769473674.759",,,,"0.24","-0.67",,,,
"1769473674.76",,,,,,"0",,,
"1769473674.953","0.99",,,,,,,,
"1769473674.957",,,"-0.49",,,,,,
"1769473674.959",,,,"0.06","-1.16",,,,
"1769473674.962",,,,,,"0",,,
"1769473675.153","0.99",,,,,,,,
"1769473675.156",,,"-0.43",,,,,,
"1769473675.158",,,,"-0.06",,,,,
"1769473675.159",,,,,"-1.1",,,,
"1769473675.16",,,,,,"0",,,
"1769473675.356","0.99",,,,,,,,
"1769473675.361",,,"-0.85","-0.24","-0.98","0",,,
"1769473675.553","0.99",,,,,,,,
"1769473675.556",,,"0.12",,,,,,
"1769473675.56",,,,"0.37","-1.22","0",,,
"1769473675.753","0.99",,,,,,,,
"1769473675.757",,,"-0.37",,,,,,
"1769473675.758",,,,"-0.24",,,,,
"1769473675.759",,,,,"-0.98",,,,
"1769473675.76",,,,,,"0",,,
"1769473675.953","0.99",,,,,,,,
"1769473675.956",,,"0.06",,,,,,
"1769473675.96",,,,"0.85","-1.04",,,,
"1769473675.961",,,,,,"0",,,
"1769473676.153","1",,,,,,,,
"1769473676.156",,,"-0.37",,,,,,
"1769473676.159",,,,"0.43","-0.79",,,,
"1769473676.16",,,,,,"0",,,
"1769473676.353","0.99",,,,,,,,
"1769473676.356",,,"0.06",,,,,,
"1769473676.36",,,,"0.12","-1.04","0",,,
"1769473676.553","0.97",,,,,,,,
"1769473676.556",,,"0.06",,,,,,
"1769473676.559",,,,"3.05",,,,,
"1769473676.56",,,,,"-0.91","0",,,
"1769473676.753","1",,,,,,,,
"1769473676.756",,,"-0.24",,,,,,
"1769473676.758",,,,"0.3",,,,,
"1769473676.759",,,,,"-0.98",,,,
"1769473676.76",,,,,,"0",,,
"1769473676.953","0.99",,,,,,,,
"1769473676.956",,,"-0.18",,,,,,
"1769473676.958",,,,"-0.24","-0.73",,,,
"1769473676.963",,,,,,"0",,,
"1769473677.153","1",,,,,,,,
"1769473677.156",,,"-0.18",,,,,,
"1769473677.158",,,,"0",,,,,
"1769473677.159",,,,,"-0.91",,,,
"1769473677.16",,,,,,"0",,,
"1769473677.353","0.99",,,,,,,,
"1769473677.356",,,"-0.12",,,,,,
"1769473677.358",,,,"0.06","-0.37",,,,
"1769473677.361",,,,,,"0",,,
"1769473677.553","0.98",,,,,,,,
"1769473677.556",,,"0",,,,,,
"1769473677.558",,,,"-0.3",,,,,
"1769473677.559",,,,,"-0.79",,,,
"1769473677.56",,,,,,"0",,,
"1769473677.753","1",,,,,,,,
"1769473677.756",,,"-0.18",,,,,,
"1769473677.758",,,,"0.06",,,,,
"1769473677.759",,,,,"-0.73",,,,
"1769473677.76",,,,,,"0",,,
"1769473677.954","1",,,,,,,,
"1769473677.956",,,"-0.06",,,,,,
